index,well,date,tide,hw,
72,0.548,4/1/2010 23:00,0.4158,0.1998,
73,0.548,4/2/2010 0:00,0.317130435,0.225826087,
74,0.538,4/2/2010 1:00,-0.1275,0.2755,
75,0.538,4/2/2010 2:00,-0.6445,0.312,
76,0.538,4/2/2010 3:00,-1.146,0.334,
77,0.538,4/2/2010 4:00,-1.472,0.199923077,
78,0.538,4/2/2010 5:00,-1.697,-0.2,
79,0.528,4/2/2010 6:00,-1.7135,-0.373,
80,0.528,4/2/2010 7:00,-1.453,-0.431,
81,0.528,4/2/2010 8:00,-1.0245,-0.3945,
82,0.528,4/2/2010 9:00,-0.5115,-0.251,
83,0.508,4/2/2010 10:00,0.0045,-0.0445,
84,0.508,4/2/2010 11:00,0.294190476,0.060380952,
85,0.508,4/2/2010 12:00,0.173,0.1195,
86,0.508,4/2/2010 13:00,-0.2155,0.1775,
87,0.508,4/2/2010 14:00,-0.7085,0.2205,
88,0.508,4/2/2010 15:00,-1.217,0.2555,
89,0.508,4/2/2010 16:00,-1.696,0.2815,
90,0.508,4/2/2010 17:00,-2.0885,0.309,
91,0.508,4/2/2010 18:00,-2.2745,0.3315,
92,0.508,4/2/2010 19:00,-1.845043478,0.182782609,
93,0.508,4/2/2010 20:00,-1.4495,-0.1335,
94,0.488,4/2/2010 21:00,-0.896210526,-0.163578947,
95,0.488,4/2/2010 22:00,-0.3255,-0.067,
96,0.488,4/2/2010 23:00,0.15973913,0.100173913,
97,0.488,4/3/2010 0:00,0.357473684,0.184315789,
98,0.488,4/3/2010 1:00,0.095894737,0.232736842,
99,0.488,4/3/2010 2:00,-0.32,0.2775,
100,0.488,4/3/2010 3:00,-0.777625,0.309875,
101,0.488,4/3/2010 4:00,-1.241,0.335,
102,0.488,4/3/2010 5:00,-1.5268,0.2204,
103,0.488,4/3/2010 6:00,-1.6665,-0.1895,
104,0.488,4/3/2010 7:00,-1.586,-0.346,
105,0.488,4/3/2010 8:00,-1.298923077,-0.392,
106,0.478,4/3/2010 9:00,-0.901,-0.3465,
107,0.478,4/3/2010 10:00,-0.4395,-0.2265,
108,0.478,4/3/2010 11:00,-0.038666667,-0.049083333,
109,0.478,4/3/2010 12:00,0.135,0.055,
110,0.478,4/3/2010 13:00,-0.074,0.1175,
111,0.478,4/3/2010 14:00,-0.461,0.1705,
112,0.458,4/3/2010 15:00,-0.9105,0.207,
113,0.458,4/3/2010 16:00,-1.36,0.2465,
114,0.458,4/3/2010 17:00,-1.767,0.271,
115,0.458,4/3/2010 18:00,-2.076,0.3075,
116,0.458,4/3/2010 19:00,-2.1325,0.328,
117,0.458,4/3/2010 20:00,-1.6924,0.2396,
118,0.458,4/3/2010 21:00,-1.312,-0.0925,
119,0.458,4/3/2010 22:00,-0.8315,-0.13,
120,0.458,4/3/2010 23:00,-0.321,-0.057,
121,0.458,4/4/2010 0:00,0.097130435,0.094086957,
122,0.458,4/4/2010 1:00,0.226,0.177,
123,0.458,4/4/2010 2:00,-0.026,0.225,
124,0.458,4/4/2010 3:00,-0.4085,0.266,
125,0.438,4/4/2010 4:00,-0.834,0.2985,
126,0.438,4/4/2010 5:00,-1.2285,0.322,
127,0.438,4/4/2010 6:00,-1.5675,0.34,
128,0.438,4/4/2010 7:00,-1.606615385,0.178,
129,0.428,4/4/2010 8:00,-1.449,-0.1715,
130,0.428,4/4/2010 9:00,-1.137,-0.2465,
131,0.428,4/4/2010 10:00,-0.7375,-0.2275,
132,0.428,4/4/2010 11:00,-0.356,-0.138,
133,0.428,4/4/2010 12:00,-0.051,-0.0145,
134,0.428,4/4/2010 13:00,0.0236,0.0796,
135,0.418,4/4/2010 14:00,-0.2255,0.141,
136,0.418,4/4/2010 15:00,-0.5885,0.1885,
137,0.418,4/4/2010 16:00,-0.9865,0.2275,
138,0.408,4/4/2010 17:00,-1.3855,0.257,
139,0.408,4/4/2010 18:00,-1.7645,0.287,
140,0.408,4/4/2010 19:00,-2.0155,0.3135,
141,0.398,4/4/2010 20:00,-2.0175,0.3275,
142,0.398,4/4/2010 21:00,-1.604307692,0.270692308,
143,0.398,4/4/2010 22:00,-1.198,-0.0705,
144,0.398,4/4/2010 23:00,-0.771,-0.1105,
145,0.388,4/5/2010 0:00,-0.316,-0.051,
146,0.388,4/5/2010 1:00,0.009,0.0585,
147,0.388,4/5/2010 2:00,0.078,0.11,
148,0.388,4/5/2010 3:00,-0.1305,0.0585,
149,0.388,4/5/2010 4:00,-0.457,-0.0445,
150,0.388,4/5/2010 5:00,-0.8155,-0.176,
151,0.388,4/5/2010 6:00,-1.1495,-0.315,
152,0.388,4/5/2010 7:00,-1.3995,-0.447,
153,0.378,4/5/2010 8:00,-1.5595,-0.452833333,
154,0.378,4/5/2010 9:00,-1.374857143,-0.480928571,
155,0.378,4/5/2010 10:00,-1.034272727,-0.448818182,
156,0.378,4/5/2010 11:00,-0.67,-0.3775,
157,0.378,4/5/2010 12:00,-0.3345,-0.2515,
158,0.368,4/5/2010 13:00,-0.106166667,-0.108666667,
159,0.368,4/5/2010 14:00,-0.0775,-0.0135,
160,0.368,4/5/2010 15:00,-0.309,0.048,
161,0.368,4/5/2010 16:00,-0.617,0.106,
162,0.358,4/5/2010 17:00,-0.9835,0.1485,
163,0.358,4/5/2010 18:00,-1.348,0.1875,
164,0.358,4/5/2010 19:00,-1.666,0.2165,
165,0.358,4/5/2010 20:00,-1.8755,0.2365,
166,0.358,4/5/2010 21:00,-1.8295,0.255,
167,0.358,4/5/2010 22:00,-1.5105,0.2705,
168,0.358,4/5/2010 23:00,-1.076,0.283,
169,0.358,4/6/2010 0:00,-0.6205,0.2965,
170,0.358,4/6/2010 1:00,-0.2085,0.3115,
171,0.358,4/6/2010 2:00,0.0585,0.319,
172,0.358,4/6/2010 3:00,0.031,0.323,
173,0.358,4/6/2010 4:00,-0.209,0.3285,
174,0.358,4/6/2010 5:00,-0.5505,0.34,
175,0.358,4/6/2010 6:00,-0.891,0.3515,
176,0.358,4/6/2010 7:00,-1.1168,0.2444,
177,0.358,4/6/2010 8:00,-1.347,-0.121,
178,0.348,4/6/2010 9:00,-1.4115,-0.2985,
179,0.348,4/6/2010 10:00,-1.2815,-0.3755,
180,0.348,4/6/2010 11:00,-1.047,-0.3815,
181,0.348,4/6/2010 12:00,-0.7405,-0.3235,
182,0.348,4/6/2010 13:00,-0.425,-0.23,
183,0.348,4/6/2010 14:00,-0.2145,-0.1345,
184,0.328,4/6/2010 15:00,-0.1925,-0.0975,
185,0.328,4/6/2010 16:00,-0.368,-0.1295,
186,0.328,4/6/2010 17:00,-0.6475,-0.2145,
187,0.328,4/6/2010 18:00,-0.9585,-0.3245,
188,0.328,4/6/2010 19:00,-1.2555,-0.446,
189,0.328,4/6/2010 20:00,-1.537428571,-0.515142857,
190,0.328,4/6/2010 21:00,-1.641777778,-0.584666667,
191,0.328,4/6/2010 22:00,-1.632677966,-0.529627119,
192,0.328,4/6/2010 23:00,-1.311642857,-0.548071429,
193,0.328,4/7/2010 0:00,-0.993851852,-0.417555556,
194,0.318,4/7/2010 1:00,-0.5635,-0.204,
195,0.318,4/7/2010 2:00,-0.184,-0.086,
196,0.318,4/7/2010 3:00,0.0735,-0.016,
197,0.318,4/7/2010 4:00,0.048,0.046,
198,0.318,4/7/2010 5:00,-0.1905,0.0975,
199,0.318,4/7/2010 6:00,-0.5225,0.1355,
200,0.318,4/7/2010 7:00,-0.87,0.168,
201,0.318,4/7/2010 8:00,-1.1865,0.1845,
202,0.318,4/7/2010 9:00,-1.4245,0.1975,
203,0.308,4/7/2010 10:00,-1.501,0.209,
204,0.308,4/7/2010 11:00,-1.323,0.215,
205,0.308,4/7/2010 12:00,-1.003666667,0.221333333,
206,0.308,4/7/2010 13:00,-0.631,0.2215,
207,0.308,4/7/2010 14:00,-0.313578947,0.221684211,
208,0.308,4/7/2010 15:00,-0.0935,0.2305,
209,0.308,4/7/2010 16:00,-0.0855,0.24,
210,0.308,4/7/2010 17:00,-0.2885,0.2445,
211,0.308,4/7/2010 18:00,-0.595,0.258,
212,0.308,4/7/2010 19:00,-0.9315,0.259,
213,0.308,4/7/2010 20:00,-1.237,0.2605,
214,0.308,4/7/2010 21:00,-1.5225,0.259,
215,0.308,4/7/2010 22:00,-1.6855,0.256,
216,0.308,4/7/2010 23:00,-1.588,0.2545,
217,0.308,4/8/2010 0:00,-1.2925,0.2595,
218,0.308,4/8/2010 1:00,-0.914,0.2635,
219,0.308,4/8/2010 2:00,-0.514,0.2685,
220,0.308,4/8/2010 3:00,-0.1615,0.2675,
221,0.308,4/8/2010 4:00,0.0695,0.2705,
222,0.308,4/8/2010 5:00,0.0555,0.2755,
223,0.308,4/8/2010 6:00,-0.178,0.284,
224,0.308,4/8/2010 7:00,-0.503,0.2755,
225,0.308,4/8/2010 8:00,-0.8435,0.2675,
226,0.308,4/8/2010 9:00,-1.168,0.2625,
227,0.288,4/8/2010 10:00,-1.4415,0.273,
228,0.288,4/8/2010 12:00,-1.4095,0.258,
229,0.288,4/8/2010 13:00,-1.075,0.265,
230,0.288,4/8/2010 14:00,-0.68,0.2605,
231,0.288,4/8/2010 15:00,-0.3155,0.2565,
232,0.288,4/8/2010 16:00,-0.049,0.257,
233,0.288,4/8/2010 17:00,-0.006,0.2635,
234,0.288,4/8/2010 18:00,-0.1985,0.2665,
235,0.288,4/8/2010 19:00,-0.493,0.2705,
236,0.288,4/8/2010 20:00,-0.8355,0.273,
237,0.288,4/8/2010 21:00,-1.1695,0.2755,
238,0.288,4/8/2010 22:00,-1.4685,0.278,
239,0.288,4/8/2010 23:00,-1.6335,0.2735,
240,0.288,4/9/2010 0:00,-1.5295,0.2735,
241,0.288,4/9/2010 1:00,-1.2325,0.2715,
242,0.288,4/9/2010 2:00,-0.8415,0.2685,
243,0.288,4/9/2010 3:00,-0.449,0.27,
244,0.288,4/9/2010 4:00,-0.116,0.2765,
245,0.278,4/9/2010 5:00,0.0545,0.2785,
246,0.278,4/9/2010 6:00,-0.041,0.278,
247,0.278,4/9/2010 7:00,-0.303,0.283,
248,0.278,4/9/2010 8:00,-0.628,0.2775,
249,0.278,4/9/2010 9:00,-0.971047619,0.275619048,
250,0.278,4/9/2010 10:00,-1.299619048,0.269428571,
251,0.278,4/9/2010 11:00,-1.591047619,0.276571429,
252,0.268,4/9/2010 12:00,-1.705333333,0.273238095,
253,0.268,4/9/2010 13:00,-1.493428571,0.258952381,
254,0.268,4/9/2010 14:00,-1.133428571,0.251809524,
255,0.268,4/9/2010 15:00,-0.738666667,0.240857143,
256,0.268,4/9/2010 16:00,-0.350095238,0.250380952,
257,0.268,4/9/2010 17:00,-0.066761905,0.258,
258,0.268,4/9/2010 18:00,-0.023904762,0.2685,
259,0.268,4/9/2010 19:00,-0.249619048,0.283714286,
260,0.268,4/9/2010 20:00,-0.584380952,0.283714286,
261,0.268,4/9/2010 21:00,-0.957714286,0.27847619,
262,0.268,4/9/2010 22:00,-1.334380952,0.269904762,
263,0.268,4/9/2010 23:00,-1.645809524,0.2675,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
